id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight,categories,mechanics,families,designers,artists,publishers,expansions,integrations,compilations,implementations
91536,boardgame,Quarriors!,2011,2,4,30,30,30,14,9830,6.89646,6.76849,12868,562,317,1743,2283,686,1.9563,Dice|Fantasy|Fighting,Card Drafting|Deck / Pool Building|Dice Rolling,Quarriors Pool Building system,Mike Elliott|Eric M. Lang,J. Lonnee|Chris Raimo,WizKids Games|Arclight|Galápagos Jogos|Intrafin Games|NECA|Stratelibri|Zvezda,Quarriors! Key Master Lord of the Quarry Promo Card|Quarriors! Quarmageddon|Quarriors! Quarmageddon Multiplying Mischievous Imp Promo Card|Quarriors! Quartifacts|Quarriors! Quaxos Promo Cards|Quarriors! Quest of the Qladiator|Quarriors! Rise of the Demons|Quarriors! X-Mas Promo Cards,,,DC Comics Dice Masters: Justice League|DC Comics Dice Masters: Superman/Batman|DC Comics Dice Masters: War of Light|Marvel Dice Masters: Avengers vs. X-Men
34084,boardgame,Witch's Brew,2008,3,5,45,45,45,9,3055,7.06125,6.76522,3064,56,390,896,866,307,1.8664,Bluffing|Card Game|Fantasy,Hand Management|Simultaneous Action Selection,Alea Medium Box|Witches,Andreas Pelikan,Julien Delval|Harald Lieske,"alea|Filosofia Éditions|Ravensburger Spieleverlag GmbH|Rio Grande Games|Swan Panasia Co., Ltd.|uplay.it edizioni",Treasure Chest|Wie verhext!: Der brodelnde Theriak|Witch's Brew: The 6th Player & The Amulets & The Magical Abilities,,,Broom Service
38054,boardgame,Snow Tails,2008,2,5,60,45,60,10,3990,6.97546,6.76282,3760,141,349,1207,1155,343,2.0729,Animals|Racing|Sports,Hand Management|Modular Board|Player Elimination,Admin: Better Description Needed!|Animals: Dogs|Arctic Theme|Sports: Winter Sports,Gordon Lamont|Fraser Lamont,Bertrand Benoit|Stéphane Gantiez|Gordon Lamont|Fraser Lamont|Judith Lamont|Beth Sobel,Fragor Games|Asmodee|Renegade Game Studios,Snow Tails: The Leap of Death,,,Mush! Mush!: Snow Tails 2
432,boardgame,6 nimmt!,1994,2,10,45,45,45,8,8315,6.88642,6.76261,10338,137,174,532,2767,1118,1.2361,Card Game,Hand Management|Simultaneous Action Selection,6 nimmt!|Animals: Cattle|Mensa Select,Wolfgang Kramer,(Uncredited)|Design Edge|Bill Herrin|Gatis Sluka|Studio Tapiro|Franz Vohwinkel,"AMIGO Spiel + Freizeit GmbH|999 Games|Albi|Asmodee|Brain Games|Copag - Cia. Paulista de Artes Gráficas|Dal Negro|Dr. Wood Challenge Centre|Endless Games (I)|G3|Gigamic|Kaissa Chess & Games|Kärnan|Kikigagne?|Korea Boardgames co., Ltd.|Lautapelit.fi|Lifestyle Boardgames Ltd|Mayfair Games|Mercurio|Midgaard Games|Möbius Games|Nelospelit|Pando Games|Piatnik|Shafir Games|Swan Panasia Co., Ltd.|U.S. Games Systems, Inc.",6 nimmt! Plus|Category 5:   Luggage Promo Card,,,Slide 5|The Walking Dead Card Game
30381,boardgame,Hamburgum,2007,2,5,75,75,75,12,2604,7.0901,6.76204,2734,102,187,542,823,349,3.0802,City Building|Economic,Set Collection,Cities: Hamburg|Country: Germany|Rondel Series,Mac Gerdts,Matthias Catrein,eggertspiele|PD-Verlag|Rio Grande Games,Hamburgum Expansion: Antverpia|Hamburgum Expansion: Lisboa,,,
35497,boardgame,Fauna,2008,2,6,60,45,60,8,2521,7.11227,6.76149,2699,53,156,591,534,179,1.5251,Animals|Educational|Trivia,Betting/Wagering,,Friedemann Friese,Peter Braun|Alexander Jung|Volker Maas,HUCH! & friends|Competo / Marektoy|dV Giochi|Filosofia Éditions|FoxMind|Gém Klub Kft.|Hobby Japan|HomoLudicus|MINDOK|REBEL.pl|Vennerød Forlag AS|Zvezda,Fauna: Eierlegende Wollmilchsau & Innerer Schweinehund Promo,Fauna Kompakt,,Fauna junior|Terra
2507,boardgame,Libert,2001,3,6,120,120,120,12,2058,7.18579,6.76102,2551,153,207,606,864,281,3.3238,Napoleonic|Political,Area Control / Area Influence|Auction/Bidding|Card Drafting|Hand Management,Country: France|Valley Games Classic Line,Martin Wallace,Peter Dennis|Kurt Miller|Mark Poole,"Valley Games, Inc.|Warfrog Games",,,,
132372,boardgame,Guildhall,2012,2,4,45,30,45,10,2548,7.11057,6.75847,3355,101,233,732,635,184,2.0543,Card Game|Medieval,Hand Management|Set Collection|Take That,,Hope S. Hwang,Michael Perry|Fabio Porfidia,Alderac Entertainment Group|Arclight|BoardM Factory|Magpie (Korean Co)|Pegasus Spiele|uplay.it edizioni,,,AEG Black Friday Black Box,Guildhall: Job Faire
66056,boardgame,The Rivals for Catan,2010,2,2,45,45,45,10,2514,7.13648,6.75823,5205,188,120,493,603,197,2.3096,Card Game|Territory Building,Card Drafting|Dice Rolling|Hand Management|Trading,Catan|Die Fürsten von Catan / The Rivals for Catan|Kosmos two-player series,Klaus Teuber,Michael Menzel,999 Games|Albi|Catan GmbH|Devir|Filosofia Éditions|Hobby World|KOSMOS|Mayfair Games,"Die Fürsten von Catan: Sonderkarte 2011 – Carol, die Spieleerklärein|Die Fürsten von Catan: Sonderkarte 2014 – Arnd, der Fischer|Die Fürsten von Catan: Sonderkarte 2015 – Teilnahme am Big Game|Die Fürsten von Catan: Sonderkarte Frühjahr 2012 – Catan Mobil|The Rivals for Catan: Age of Darkness|The Rivals for Catan: Age of Enlightenment|The Rivals for Catan: Alexander and Sebastian, the Bookkeepers|The Rivals for Catan: Axel the Innovator|The Rivals for Catan: Gavin the Polyglot|The Rivals for Catan: Heiko the Master Swimmer|The Rivals for Catan: Johannes the Advocate|The Rivals for Catan: Ron the Well-Travelled Man",,,Catan Card Game
156714,boardgame,Doomtown: Reloaded,2014,2,4,30,30,30,12,970,7.83519,6.75625,2733,181,111,547,316,93,3.3978,American West|Card Game|City Building|Fantasy|Horror,Area Control / Area Influence|Betting/Wagering|Hand Management|Variable Player Powers,Admin: Better Description Needed!|The Weird West (BGG Family),Dave Williams (II)|Mark Wootton,Mario Wibisono,Alderac Entertainment Group,"Doomtown: Reloaded – Double Dealin'|Doomtown: Reloaded – Election Day Slaughter|Doomtown: Reloaded – Faith and Fear|Doomtown: Reloaded – Frontier Justice|Doomtown: Reloaded – Immovable Object, Unstoppable Force|Doomtown: Reloaded – New Town, New Rules|Doomtown: Reloaded – Nightmare at Noon|Doomtown: Reloaded – No Turning Back|Doomtown: Reloaded – The Light Shineth",,,Deadlands: Doomtown
